item_types,weekday,time_since_person,time_of_day,current_sit_minutes,total_session_minutes,num_previous_returns,seat_now_occupied,new_person_present,label
charging-cable,Thu,22,10.07,54,62,4,0,0,LEFT_BEHIND
"keys,mouse",Fri,1,19.17,197,366,3,1,0,OCCUPIED
"keys,iPad",Thu,15,17.08,192,286,5,0,1,TEMP_LEAVE
"glasses,iPad,pen",Fri,48,19.69,70,192,1,1,1,LEFT_BEHIND
"bottle,bag",Wed,40,21.81,37,92,5,0,0,TEMP_LEAVE
bag,Thu,50,18.35,77,152,3,0,1,TEMP_LEAVE
glasses,Fri,28,14.04,173,317,0,0,1,LEFT_BEHIND
"bottle,book,phone",Fri,16,21.17,7,78,2,1,0,OCCUPIED
"charging-cable,phone,paper",Mon,1,17.5,89,223,3,0,1,TEMP_LEAVE
"bottle,iPad",Fri,6,16.97,53,239,3,1,0,OCCUPIED
bag,Tue,46,20.33,121,250,1,0,1,TEMP_LEAVE
"wallet,paper,charging-cable,keys",Thu,4,16.88,129,230,1,1,1,TEMP_LEAVE
"iPad,bag,mouse,paper",Sun,42,20.99,96,157,4,0,1,TEMP_LEAVE
wallet,Mon,4,8.57,83,230,2,0,0,TEMP_LEAVE
bottle,Tue,22,16.25,188,377,2,1,1,LEFT_BEHIND
paper,Tue,5,11.78,153,275,2,0,0,TEMP_LEAVE
phone,Sat,25,10.15,68,98,2,1,1,LEFT_BEHIND
"student-id,watch,iPad",Mon,52,19.94,88,221,0,0,0,LEFT_BEHIND
"bag,mouse",Fri,59,21.54,84,84,2,0,0,TEMP_LEAVE
"keys,bag,earphones,phone",Wed,49,13.24,175,178,2,0,1,TEMP_LEAVE
"wallet,glasses,charging-cable",Fri,17,17.1,99,114,4,0,0,LEFT_BEHIND
paper,Mon,3,9.49,118,240,1,1,1,TEMP_LEAVE
"watch,paper,student-id,keys",Sun,15,18.81,5,79,0,1,1,TEMP_LEAVE
"laptop,iPad,bag,student-id",Sun,42,11.09,49,173,2,1,1,LEFT_BEHIND
"paper,wallet",Wed,49,20.4,187,384,0,0,0,LEFT_BEHIND
"book,charging-cable,phone,laptop",Tue,56,15.84,23,196,2,1,0,OCCUPIED
"keys,mouse,laptop",Fri,0,18.77,195,208,1,0,1,OCCUPIED
"iPad,watch,laptop",Sat,47,18.17,103,186,5,1,1,LEFT_BEHIND
"wallet,student-id",Thu,10,12.3,93,155,5,1,0,OCCUPIED
"watch,bottle",Mon,16,20.46,164,362,4,1,0,OCCUPIED
"pen,charging-cable,keys",Sat,29,15.38,49,177,1,1,1,LEFT_BEHIND
"wallet,bag,mouse",Thu,7,8.51,72,174,5,1,0,OCCUPIED
"bottle,paper,wallet",Sun,15,15.92,32,211,4,0,1,TEMP_LEAVE
"pen,mouse,charging-cable",Fri,29,9.26,122,223,2,0,0,LEFT_BEHIND
"paper,wallet",Sat,0,21.06,39,88,4,0,0,OCCUPIED
mouse,Tue,28,18.22,193,199,1,1,1,LEFT_BEHIND
"book,bottle",Sat,44,11.09,100,266,4,1,0,OCCUPIED
"pen,phone,watch,mouse",Sat,11,11.61,83,273,3,1,0,OCCUPIED
"bottle,watch,keys,student-id",Wed,38,17.77,119,132,5,1,1,LEFT_BEHIND
"mouse,glasses,keys",Thu,8,18.27,17,193,4,0,0,TEMP_LEAVE
mouse,Fri,35,12.64,189,272,4,0,0,LEFT_BEHIND
"iPad,laptop,glasses",Tue,6,12.67,0,116,4,0,0,TEMP_LEAVE
keys,Mon,15,15.67,108,154,5,0,0,LEFT_BEHIND
"mouse,paper,pen",Thu,36,11.16,5,38,2,1,0,OCCUPIED
"wallet,paper,student-id",Fri,32,8.47,192,229,3,0,1,TEMP_LEAVE
"laptop,mouse,student-id",Thu,4,21.86,164,201,5,1,0,OCCUPIED
"bag,glasses",Fri,53,15.37,198,364,1,0,1,TEMP_LEAVE
"iPad,earphones,bottle",Fri,48,14.35,18,29,0,1,0,OCCUPIED
"watch,phone,bag",Mon,50,13.42,142,270,5,1,0,OCCUPIED
"keys,wallet",Fri,5,10.68,117,144,3,0,0,TEMP_LEAVE
"charging-cable,earphones,watch",Fri,21,17.34,45,143,4,1,1,LEFT_BEHIND
"bottle,phone,iPad,keys",Mon,15,10.82,66,105,0,0,0,TEMP_LEAVE
"student-id,charging-cable",Sun,4,19.23,3,27,0,1,1,LEFT_BEHIND
"earphones,paper",Tue,4,12.25,158,266,2,1,0,OCCUPIED
"pen,wallet",Thu,14,19.54,193,362,0,0,1,LEFT_BEHIND
"earphones,bottle,pen,bag",Mon,44,17.52,88,279,4,1,1,LEFT_BEHIND
"paper,pen,earphones",Sat,15,18.89,112,215,2,0,1,LEFT_BEHIND
"laptop,bag,earphones,charging-cable",Fri,11,16.73,146,219,3,1,1,TEMP_LEAVE
"bottle,bag",Sat,58,16.84,173,366,0,0,0,LEFT_BEHIND
keys,Sun,48,19.1,101,167,4,0,0,LEFT_BEHIND
"book,bag,laptop,bottle",Tue,43,19.46,121,295,4,1,1,LEFT_BEHIND
mouse,Mon,17,12.78,36,193,5,0,1,LEFT_BEHIND
"bag,book,wallet",Sat,39,9.15,85,275,4,1,0,OCCUPIED
student-id,Sun,22,17.62,144,231,0,0,1,TEMP_LEAVE
"mouse,earphones",Mon,21,20.14,61,259,0,1,1,LEFT_BEHIND
"iPad,phone",Sun,58,13.89,77,110,3,1,0,OCCUPIED
watch,Sun,6,20.06,185,261,2,1,1,TEMP_LEAVE
"glasses,book",Mon,37,21.66,16,142,0,0,1,LEFT_BEHIND
"paper,watch,pen,wallet",Wed,31,16.39,39,176,1,0,1,TEMP_LEAVE
"book,bag,laptop,mouse",Thu,18,17.48,7,177,2,0,0,TEMP_LEAVE
"wallet,pen",Thu,42,21.27,93,260,4,0,0,LEFT_BEHIND
"keys,iPad,wallet",Sat,13,14.25,72,146,3,1,1,TEMP_LEAVE
"watch,bottle,pen",Thu,2,8.46,49,248,4,0,1,TEMP_LEAVE
watch,Tue,25,18.73,55,136,2,1,1,LEFT_BEHIND
"student-id,mouse,charging-cable,bag",Sat,41,19.93,12,150,4,1,1,LEFT_BEHIND
bag,Sun,18,8.44,78,97,3,1,0,OCCUPIED
"paper,phone",Sun,16,20.13,113,233,1,0,0,TEMP_LEAVE
bottle,Sun,49,13.4,131,203,4,1,1,LEFT_BEHIND
"wallet,bag",Fri,16,9.09,45,141,2,1,1,LEFT_BEHIND
"charging-cable,paper,keys,phone",Wed,4,19.09,113,127,0,1,1,LEFT_BEHIND
"laptop,keys,bag",Wed,10,9.58,28,215,0,0,1,TEMP_LEAVE
"laptop,bag,wallet,student-id",Wed,8,16.11,133,238,4,0,1,TEMP_LEAVE
"keys,pen",Wed,51,8.4,123,222,4,1,0,OCCUPIED
"wallet,student-id",Thu,26,12.62,9,207,2,1,1,LEFT_BEHIND
"phone,laptop,charging-cable",Thu,49,20.37,166,183,0,0,0,LEFT_BEHIND
"keys,bottle,mouse,paper",Sat,55,12.03,101,140,4,0,1,TEMP_LEAVE
"charging-cable,phone,book,bag",Fri,32,9.26,161,232,4,0,1,TEMP_LEAVE
"pen,iPad,paper,keys",Sun,27,13.32,49,216,0,1,0,OCCUPIED
"laptop,glasses",Wed,15,8.3,49,78,3,1,0,OCCUPIED
"student-id,watch,bag",Thu,2,15.8,79,215,2,1,0,OCCUPIED
bottle,Sun,17,10.66,18,128,1,1,1,LEFT_BEHIND
"glasses,bag,bottle,laptop",Sun,26,15.87,53,215,4,0,1,TEMP_LEAVE
charging-cable,Sat,42,9.19,111,141,4,1,0,OCCUPIED
"charging-cable,bottle,student-id,glasses",Fri,13,20.27,172,344,4,0,0,TEMP_LEAVE
"keys,glasses,wallet,bottle",Mon,22,10.78,100,294,1,1,1,LEFT_BEHIND
phone,Sun,29,18.42,29,223,3,1,1,LEFT_BEHIND
bag,Thu,24,21.07,97,199,1,0,0,TEMP_LEAVE
"charging-cable,laptop",Sat,6,18.33,66,245,3,0,1,TEMP_LEAVE
earphones,Fri,33,9.27,154,244,0,0,0,LEFT_BEHIND
"bottle,watch,bag",Thu,43,20.56,92,118,4,1,0,OCCUPIED
"paper,bag,bottle",Sat,30,16.17,64,157,3,0,1,TEMP_LEAVE
earphones,Wed,7,13.32,103,291,4,1,1,TEMP_LEAVE
"bottle,keys,mouse",Tue,4,19.9,86,134,2,0,0,TEMP_LEAVE
"mouse,watch",Thu,17,14.08,141,153,3,1,1,LEFT_BEHIND
"earphones,bottle,watch,paper",Wed,45,8.96,81,101,2,0,0,TEMP_LEAVE
book,Thu,12,12.76,56,254,3,0,1,LEFT_BEHIND
"bottle,student-id,iPad,phone",Mon,33,18.03,184,380,0,1,0,OCCUPIED
"mouse,pen,charging-cable",Sun,52,19.06,187,351,4,0,0,LEFT_BEHIND
bottle,Sun,42,15.29,83,139,3,0,1,LEFT_BEHIND
"bottle,keys,pen",Tue,1,20.39,61,208,1,0,0,TEMP_LEAVE
charging-cable,Thu,36,13.74,77,244,3,1,0,OCCUPIED
"bag,phone,pen,laptop",Tue,22,16.64,99,232,1,1,1,LEFT_BEHIND
"iPad,book",Wed,37,21.58,5,93,5,1,0,OCCUPIED
"pen,iPad,watch",Sat,16,21.79,153,176,5,1,0,OCCUPIED
"mouse,bottle,earphones,student-id",Fri,8,19.84,63,178,2,0,1,TEMP_LEAVE
laptop,Tue,35,17.63,29,193,5,0,0,TEMP_LEAVE
"charging-cable,mouse,pen,earphones",Sun,11,20.1,47,84,3,0,0,LEFT_BEHIND
"laptop,student-id",Sun,21,11.6,73,189,0,0,0,TEMP_LEAVE
"book,bottle,laptop",Mon,10,12.95,144,280,1,1,0,OCCUPIED
"phone,glasses,laptop",Fri,1,10.32,109,140,2,0,1,TEMP_LEAVE
"iPad,laptop",Tue,3,19.97,147,281,3,1,0,OCCUPIED
mouse,Fri,2,15.43,41,56,2,0,0,TEMP_LEAVE
"pen,book,glasses,bottle",Sun,25,15.61,8,64,4,0,1,LEFT_BEHIND
iPad,Thu,5,20.52,83,266,3,0,1,TEMP_LEAVE
"iPad,earphones,pen",Sat,53,11.02,86,122,0,0,0,LEFT_BEHIND
paper,Sat,28,19.41,20,107,2,1,0,OCCUPIED
"keys,paper,phone",Fri,19,13.86,141,255,2,1,0,OCCUPIED
"charging-cable,iPad,bottle,student-id",Thu,35,15.8,108,225,5,1,1,LEFT_BEHIND
"keys,watch,laptop",Sat,5,20.73,107,217,1,0,1,TEMP_LEAVE
"bottle,earphones,phone,charging-cable",Thu,47,10.97,137,284,0,1,0,OCCUPIED
"laptop,mouse,watch,book",Sun,22,11.76,8,152,5,1,0,OCCUPIED
"keys,paper",Sat,59,12.87,129,156,1,1,1,LEFT_BEHIND
"keys,earphones",Tue,22,12.33,186,373,2,0,0,TEMP_LEAVE
"laptop,iPad",Sat,32,10.78,63,213,2,1,1,LEFT_BEHIND
"bottle,glasses,wallet,student-id",Sun,55,11.45,104,256,1,1,1,LEFT_BEHIND
"watch,student-id,mouse",Wed,28,11.77,197,299,3,0,1,TEMP_LEAVE
"glasses,watch,mouse,phone",Thu,44,9.1,61,85,2,1,1,LEFT_BEHIND
glasses,Mon,46,18.86,36,110,3,0,1,LEFT_BEHIND
"keys,watch",Mon,43,19.14,8,99,2,1,1,LEFT_BEHIND
"wallet,watch,charging-cable",Wed,34,16.05,44,123,2,1,0,OCCUPIED
"earphones,bag,bottle",Wed,35,15.25,108,260,2,0,0,TEMP_LEAVE
earphones,Thu,46,13.35,79,260,4,0,1,LEFT_BEHIND
"pen,wallet,book,paper",Fri,46,16.54,0,154,1,1,1,LEFT_BEHIND
pen,Mon,28,17.47,7,35,2,0,0,LEFT_BEHIND
"mouse,student-id,phone",Mon,49,9.43,128,255,2,1,1,LEFT_BEHIND
"laptop,earphones,bag",Fri,25,14.97,123,228,3,0,0,TEMP_LEAVE
charging-cable,Sat,25,18.75,200,257,1,1,1,LEFT_BEHIND
"mouse,charging-cable",Thu,34,12.51,159,186,4,1,1,LEFT_BEHIND
wallet,Mon,47,20.95,51,246,1,1,1,LEFT_BEHIND
"paper,bag,bottle,charging-cable",Sun,25,15.31,26,85,4,0,0,TEMP_LEAVE
"earphones,mouse,bottle,bag",Sun,47,8.84,103,195,4,0,1,TEMP_LEAVE
"charging-cable,bag",Thu,57,15.62,137,217,3,1,0,OCCUPIED
student-id,Wed,31,14.2,27,84,2,0,1,TEMP_LEAVE
"student-id,pen,glasses,book",Sat,29,9.26,200,285,1,1,1,LEFT_BEHIND
"earphones,book,charging-cable,glasses",Fri,1,10.48,89,282,5,1,0,OCCUPIED
"book,laptop",Tue,31,9.36,49,60,1,0,0,TEMP_LEAVE
keys,Sat,44,15.47,191,366,0,0,0,LEFT_BEHIND
"bottle,earphones,charging-cable",Thu,22,11.82,136,156,5,0,1,TEMP_LEAVE
"glasses,watch",Sun,48,16.24,20,117,5,1,0,OCCUPIED
"paper,pen,bottle",Wed,26,11.11,93,203,1,1,0,OCCUPIED
"phone,iPad,mouse",Tue,28,15.37,32,65,5,1,0,OCCUPIED
"laptop,wallet,bag",Tue,43,15.55,85,201,1,1,0,OCCUPIED
"wallet,bag",Tue,32,20.8,141,193,4,1,0,OCCUPIED
"paper,bottle,glasses",Sat,55,19.99,28,38,5,1,1,LEFT_BEHIND
"phone,paper",Tue,35,18.08,118,266,5,0,1,TEMP_LEAVE
"laptop,earphones,student-id",Fri,42,16.94,24,203,3,0,0,TEMP_LEAVE
"mouse,keys,iPad,glasses",Fri,58,9.06,5,172,3,1,0,OCCUPIED
"watch,keys,bag",Fri,9,8.76,186,331,4,0,1,TEMP_LEAVE
"iPad,bottle,laptop,glasses",Sat,51,17.49,151,236,0,0,1,LEFT_BEHIND
"pen,earphones,laptop",Wed,1,21.43,194,244,0,1,1,LEFT_BEHIND
"wallet,glasses,laptop,book",Tue,2,20.49,119,198,2,0,0,TEMP_LEAVE
"wallet,laptop",Sat,19,21.19,114,147,3,1,0,OCCUPIED
"iPad,wallet,laptop",Sat,50,16.96,26,112,3,1,0,OCCUPIED
"keys,iPad,charging-cable",Sat,14,20.37,77,217,4,0,0,TEMP_LEAVE
"earphones,glasses,bag",Sun,53,17.82,96,253,2,0,1,TEMP_LEAVE
"wallet,earphones,mouse,laptop",Wed,47,21.44,117,151,2,1,1,LEFT_BEHIND
"mouse,pen,bottle,wallet",Wed,14,14.77,152,159,1,0,1,TEMP_LEAVE
"keys,charging-cable,watch",Fri,14,15.93,24,209,1,0,1,TEMP_LEAVE
"bag,mouse,wallet",Wed,8,13.38,83,112,1,0,1,TEMP_LEAVE
"book,earphones",Sun,15,13.34,168,232,4,0,0,LEFT_BEHIND
paper,Sat,37,12.25,12,204,4,0,1,LEFT_BEHIND
paper,Wed,38,15.23,70,100,0,0,0,LEFT_BEHIND
"bottle,iPad",Wed,1,14.48,91,241,0,0,0,TEMP_LEAVE
"keys,watch,earphones,wallet",Fri,26,13.35,192,304,4,0,1,TEMP_LEAVE
bottle,Sun,47,11.74,145,232,1,1,0,OCCUPIED
"phone,keys,paper",Tue,59,17.5,118,148,2,0,0,TEMP_LEAVE
"laptop,earphones,pen,bag",Mon,60,16.18,18,143,5,1,1,LEFT_BEHIND
"paper,bottle,glasses,keys",Fri,58,10.91,1,30,1,0,1,TEMP_LEAVE
"student-id,iPad",Fri,57,11.24,164,179,5,1,0,OCCUPIED
"laptop,paper,student-id,glasses",Fri,22,19.94,131,265,0,0,0,TEMP_LEAVE
earphones,Sat,23,10.67,153,232,2,1,0,OCCUPIED
"phone,mouse,book",Sat,51,18.0,97,194,0,1,1,LEFT_BEHIND
"charging-cable,watch,bottle",Sat,2,10.06,84,216,0,0,1,TEMP_LEAVE
"mouse,charging-cable",Wed,32,18.27,143,216,2,0,0,LEFT_BEHIND
"bag,laptop",Fri,14,14.28,158,352,4,0,0,TEMP_LEAVE
"keys,earphones,bottle",Wed,14,19.88,10,145,5,1,0,OCCUPIED
student-id,Wed,22,15.31,53,84,1,1,0,OCCUPIED
"wallet,earphones,student-id,bottle",Mon,46,8.77,28,198,2,1,1,LEFT_BEHIND
"phone,iPad",Thu,0,21.89,109,168,1,1,1,OCCUPIED
iPad,Thu,53,21.11,26,155,2,0,1,TEMP_LEAVE
bottle,Thu,14,14.41,1,76,0,0,1,LEFT_BEHIND
"bag,glasses",Sun,23,11.06,142,308,1,1,0,OCCUPIED
"pen,paper",Sat,14,16.59,88,148,1,0,0,LEFT_BEHIND
"pen,laptop,bottle",Fri,36,21.54,185,298,3,0,1,TEMP_LEAVE
wallet,Sat,54,13.56,96,153,2,0,0,LEFT_BEHIND
"paper,glasses",Sun,4,18.91,26,129,2,1,0,OCCUPIED
paper,Tue,16,12.11,117,165,5,0,0,LEFT_BEHIND
"glasses,paper",Sun,1,15.91,191,212,2,0,0,TEMP_LEAVE
"earphones,pen",Sat,0,15.48,118,256,3,0,1,OCCUPIED
wallet,Fri,56,13.79,66,104,1,0,0,LEFT_BEHIND
"watch,charging-cable",Thu,47,20.94,181,276,1,1,1,LEFT_BEHIND
"laptop,wallet",Thu,19,14.58,70,93,2,1,0,OCCUPIED
bag,Thu,25,11.28,80,159,1,1,0,OCCUPIED
earphones,Thu,37,20.37,92,250,0,1,1,LEFT_BEHIND
"student-id,glasses,phone,bottle",Thu,30,17.27,119,182,2,1,0,OCCUPIED
"glasses,pen",Sat,47,18.22,152,205,3,0,1,LEFT_BEHIND
"mouse,watch,charging-cable,bag",Mon,16,19.41,121,265,4,1,1,TEMP_LEAVE
"iPad,earphones,pen",Thu,12,13.91,172,232,5,0,0,TEMP_LEAVE
"phone,bag,wallet,mouse",Wed,41,17.32,26,209,0,0,1,LEFT_BEHIND
"wallet,glasses,keys,bag",Tue,47,9.6,125,134,5,1,1,LEFT_BEHIND
earphones,Fri,35,17.73,70,221,4,0,1,LEFT_BEHIND
charging-cable,Sat,19,12.54,71,167,2,0,0,LEFT_BEHIND
earphones,Wed,15,9.83,132,216,1,1,0,OCCUPIED
"iPad,paper",Thu,23,15.84,97,155,5,0,0,TEMP_LEAVE
paper,Mon,27,12.24,55,238,0,0,0,LEFT_BEHIND
"bottle,book,pen,wallet",Thu,59,19.19,60,226,0,1,0,OCCUPIED
book,Wed,20,14.3,151,320,2,0,0,LEFT_BEHIND
paper,Mon,9,14.42,11,172,2,0,0,TEMP_LEAVE
charging-cable,Wed,22,10.52,89,100,3,1,1,LEFT_BEHIND
"charging-cable,bottle,pen",Thu,20,8.36,197,302,0,0,0,LEFT_BEHIND
"laptop,mouse,student-id,book",Fri,1,18.86,16,55,5,0,1,TEMP_LEAVE
"wallet,earphones,watch,keys",Mon,19,18.57,189,197,0,0,1,TEMP_LEAVE
"laptop,bottle,wallet,watch",Wed,42,19.23,18,86,5,0,1,TEMP_LEAVE
"bottle,bag,phone,charging-cable",Sun,5,15.01,71,166,4,1,0,OCCUPIED
"bottle,keys",Fri,37,10.82,31,191,5,0,1,TEMP_LEAVE
"paper,keys",Sun,58,8.3,43,191,5,0,1,LEFT_BEHIND
"bottle,glasses,mouse",Thu,4,12.35,131,137,4,1,1,TEMP_LEAVE
"laptop,phone",Wed,2,11.27,192,325,2,1,1,TEMP_LEAVE
"laptop,wallet,iPad",Sat,13,21.36,142,203,4,0,0,TEMP_LEAVE
"book,charging-cable,pen",Sun,27,11.43,136,287,4,0,0,LEFT_BEHIND
pen,Thu,9,16.34,153,203,1,1,1,TEMP_LEAVE
